,Postcode,Borough,Neighbourhood,Latitude,Longitude
112,M4N,Central Toronto,Lawrence Park,43.7280205,-79.3887901
113,M5N,Central Toronto,Roselawn,43.7116948,-79.41693559999999
114,M6N,York,"The Junction North, Runnymede",43.67318529999999,-79.48726190000001
115,M6N,York,"The Junction North, Runnymede",43.67318529999999,-79.48726190000001
116,M9N,York,Weston,43.706876,-79.51818840000001
117,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.7574096,-79.27330400000001
118,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.7574096,-79.27330400000001
119,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.7574096,-79.27330400000001
120,M2P,North York,York Mills West,43.752758299999996,-79.4000493
121,M4P,Central Toronto,Davisville North,43.7127511,-79.3901975
122,M5P,Central Toronto,"Forest Hill North, Forest Hill West",43.6969476,-79.41130720000001
123,M5P,Central Toronto,"Forest Hill North, Forest Hill West",43.6969476,-79.41130720000001
124,M6P,West Toronto,"High Park, The Junction South",43.6616083,-79.46476329999999
125,M6P,West Toronto,"High Park, The Junction South",43.6616083,-79.46476329999999
126,M9P,Etobicoke,Westmount,43.696319,-79.53224240000002
127,M1R,Scarborough,"Maryvale, Wexford",43.750071500000004,-79.2958491
128,M1R,Scarborough,"Maryvale, Wexford",43.750071500000004,-79.2958491
129,M2R,North York,Willowdale West,43.7827364,-79.4422593
130,M4R,Central Toronto,North Toronto West,43.7153834,-79.40567840000001
131,M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.40567840000001
132,M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.40567840000001
133,M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.40567840000001
134,M6R,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325
135,M6R,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325
136,M7R,Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.61581899999999
137,M9R,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",43.6889054,-79.55472440000001
138,M9R,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",43.6889054,-79.55472440000001
139,M9R,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",43.6889054,-79.55472440000001
140,M9R,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",43.6889054,-79.55472440000001
141,M1S,Scarborough,Agincourt,43.7942003,-79.26202940000002
142,M4S,Central Toronto,Davisville,43.7043244,-79.3887901
143,M5S,Downtown Toronto,"Harbord, University of Toronto",43.6626956,-79.4000493
144,M5S,Downtown Toronto,"Harbord, University of Toronto",43.6626956,-79.4000493
145,M6S,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499
146,M6S,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499
147,M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",43.7816375,-79.3043021
148,M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",43.7816375,-79.3043021
149,M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",43.7816375,-79.3043021
150,M4T,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.38315990000001
151,M4T,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.38315990000001
152,M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market",43.6532057,-79.4000493
153,M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market",43.6532057,-79.4000493
154,M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market",43.6532057,-79.4000493
155,M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.8152522,-79.2845772
156,M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.8152522,-79.2845772
157,M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.8152522,-79.2845772
158,M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.8152522,-79.2845772
159,M4V,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",43.68641229999999,-79.4000493
160,M4V,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",43.68641229999999,-79.4000493
161,M4V,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",43.68641229999999,-79.4000493
162,M4V,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",43.68641229999999,-79.4000493
163,M4V,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",43.68641229999999,-79.4000493
164,M5V,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara",43.6289467,-79.3944199
165,M5V,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara",43.6289467,-79.3944199
166,M5V,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara",43.6289467,-79.3944199
167,M5V,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara",43.6289467,-79.3944199
168,M5V,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara",43.6289467,-79.3944199
